t	RE_E	IM_E	RE_P	IM_P	Alpha
412	1.197517519397144e-05	0.018306604157711917	-16.885244824673023	1.3254472795842638	922.4050778814297
413	1.1502197702053609e-05	0.01740145279686861	-16.04495234757859	1.2855546452490858	922.0951413624427
414	1.0939407673033618e-05	0.01653358283886224	-15.305147309416698	1.2311942533493805	925.7494503687046
415	1.0291689006995674e-05	0.015701914877316522	-14.607575038446926	1.1130721908281416	930.351389029935
416	9.56458231462757e-06	0.014905374309228274	-13.882804380841309	0.9618456541293309	931.4369152921429
417	8.764237244482117e-06	0.014142893079930328	-13.128757064623054	0.8521642335631698	928.3305776173585
418	7.897360178438445e-06	0.013413411313757288	-12.411587323854805	0.816604446229045	925.3472901000442
419	6.971157742479786e-06	0.012715878833015195	-11.788442577408954	0.8083754868096797	927.0992874662493
420	5.993276611087971e-06	0.012049256568048458	-11.241072624246772	0.7551576314903646	932.9575973006484
421	4.971740109930152e-06	0.011412517861366276	-10.696224018907667	0.6418103927124426	937.2604465210109
422	3.914882144596218e-06	0.010804649668933077	-10.108879287898901	0.5270612283371024	935.6220925440608
423	2.8312790009888868e-06	0.010224653661851072	-9.512613650814359	0.4755165927779906	930.3732830389218
424	1.729679576710869e-06	0.009671547231761942	-8.979638628570141	0.48341100072795223	928.4682771433717
425	6.189346120830798e-07	0.009144364403372646	-8.536890772327213	0.4831489550386706	933.5720951711586
426	-4.92074506435016e-07	0.008642156657570857	-8.134536500598026	0.4209095140291359	941.2595524976579
427	-1.5945067976740334e-06	0.008163993668635548	-7.702603783135923	0.3179692514307944	943.4771387001765
428	-2.679632023908852e-06	0.007708963959071785	-7.230311182399574	0.24563845347918165	937.8983950875058
429	-3.7388997574066086e-06	0.0072761754756051076	-6.777112737173806	0.2430826720337425	931.3939804207786
430	-4.764006630114928e-06	0.006864756089864173	-6.403265232748161	0.2725028495065289	932.7458912591154
431	-5.746961239861676e-06	0.006473854027257725	-6.099951713726361	0.2627470086384297	942.2074757581788
432	-6.680146208099893e-06	0.006102638227518387	-5.7989758577065595	0.19083475210704626	950.2054356495105
433	-7.556376910544488e-06	0.005750298640339131	-5.450405791177062	0.10779623606554162	947.8211597587716
434	-8.368956431326987e-06	0.005416046459474165	-5.0788170060312705	0.07960158588406686	937.7101758911809
435	-9.111726324889896e-06	0.00509911429860974	-4.753871380366595	0.11137319028678405	932.251545612757
436	-9.779112805388166e-06	0.00479875631223868	-4.509477443684942	0.14177280789648938	939.6538423369403
437	-1.0366168022725203e-05	0.004514248264692485	-4.304434099379159	0.1135374470285108	953.4590107281725
438	-1.0868606125614143e-05	0.004244887550400328	-4.06935866022553	0.038901904404679534	958.6195938230867
439	-1.1282833855447696e-05	0.003989993168354295	-3.7856073950740345	-0.014976926441029041	948.7784353704533
440	-1.1605975460223478e-05	0.003748905653666303	-3.505608851909389	-0.0033919558978417925	935.0957528869718
441	-1.183589176424432e-05	0.003520986969006849	-3.2916980138584715	0.044748451930270855	934.8260661292371
442	-1.1971193276792041e-05	0.0033056203586163285	-3.1440134745872568	0.0603880257327548	951.0328500954564
443	-1.2011247271624198e-05	0.0031022101674814816	-3.000097655108903	0.013561751109514818	967.0525241506184
444	-1.1956178817022677e-05	0.0029101816281686776	-2.8062062619445602	-0.0526262237156324	964.3298808486398
445	-1.1806865784746084e-05	0.002728980617706874	-2.5782126383686204	-0.07191396914725201	944.8493297155721
446	-1.1564927913725185e-05	0.002558073386814361	-2.3824229119166063	-0.03099852444295617	931.3706052430631
447	-1.1232710051300758e-05	0.002396946263666132	-2.2587719110048203	0.015476563306170733	942.3030527684439
448	-1.0813259739969914e-05	0.0022451053343030187	-2.174717012064254	0.007847586974678699	968.6087936080895
449	-1.031029936164162e-05	0.002102076101692209	-2.0624432274154674	-0.050278338154927465	981.2395518906463
450	-9.728193093275118e-06	0.0019674031253557466	-1.8962556592363469	-0.09661264521410959	964.0561104312816
451	-9.071908966913607e-06	0.0018406496434003323	-1.7212757741790157	-0.08195129534478529	935.3425123391382
